Request,count
Show me the patients who have the highest systolic blood pressure.,34
Give me a list of patients who have appointments with Dr. Smith.,31
"Give me a list of patients who have appointments at the clinic named ""Alzheimer Clinic"".",23
List all patients who have allergies to peanuts.,21
Give me a list of patients who have appointments scheduled for tomorrow.,21
Give me a list of patients who have appointments with Dr. John Doe.,20
Show me all patients who have a medication active.,19
List all patients who have allergies to peanuts or shellfish.,17
Give me a list of patients who have appointments with Dr. John Smith.,16
Who is the patient with the highest systolic pressure?,16
Show me the patients who have the highest BMI.,15
Show me the patients who have allergies to peanuts.,14
"Give me a list of patients who have appointments in the clinic named ""Alzheimer Clinic"".",14
Give me the names of patients who have allergies to peanuts.,12
Show me the patients who have allergies to peanuts or shellfish.,12
Show me the patients who have a medication active.,11
Show me the patients who have the highest and lowest MMSE scores.,10
Show me the patients who have the highest systolic pressure.,9
Who is the patient with the highest BMI?,9
Show me the patients who have the same last name as their treating professional.,9
Give me a list of patients who have appointments with a professional named John Smith.,8
Which patients have allergies to peanuts?,8
Which patients have allergies to peanuts or shellfish?,7
Which patients have the highest BMI?,7
Show me all patients who have a BMI higher than 25.,7
Show me all patients who have allergies to peanuts.,7
How many patients have allergies to peanuts?,7
Show me a list of patients who have appointments with a professional named John Smith.,6
Is there any patient who has a medication start date before their birth date?,6
Show me all patients who have a BMI greater than 25.,6
Show me all patients who have a medication start date before 2020-01-01.,6
List all patients who have a BMI greater than 25.,6
"Give me a list of patients who have appointments at the clinic named ""ABC Clinic"".",6
"Give me a list of patients who have appointments in the clinic named ""ABC Clinic"".",6
Show me all patients who have a BMI greater than 25 and are taking medication for hypertension.,6
How many patients have allergies?,6
How many patients have a BMI higher than 25?,6
How many patients have a BMI greater than 25?,6
List all patients who have appointments scheduled for tomorrow.,5
How many patients have medication active?,5
Give me a list of 5 patients who have appointments with Dr. Smith.,5
Give me a list of patients who have appointments with a professional named John.,5
Show me the patients who have the highest MMSE score and the lowest MOCA score.,5
Show me the patients who have a BMI greater than 25 and are taking medication for hypertension.,5
Show me the patients who have the highest MMSE score.,5
Show me the patients who have the highest systolic pressure and the lowest diastolic pressure.,5
"Show me a list of patients who have appointments at the clinic named ""Alzheimer Clinic"".",5
No questions requested.,5
Which patient has the highest BMI?,5
"Show me a list of patients who have appointments at the clinic named ""ABC Clinic"".",4
Find the patient with the highest systolic pressure.,4
Show me all patients who have a medication start date before 2020.,4
Show me a list of patients who have appointments with Dr. John Doe.,4
Which patients have medication active?,4
Give me a list of patients who have appointments with professional John Doe.,4
Find the patients who have allergies to peanuts or shellfish.,4
No questions were requested.,4
How many patients have a medication start date before 2020-01-01?,4
Show me all patients who have a medication dosage greater than 10mg.,4
List all patients who have a BMI higher than 25.,4
Give me a list of patients who have appointments scheduled for today.,4
"Give me a list of patients who have appointments with a professional named ""John Smith"".",4
What is the average weight of patients who have a BMI greater than 25?,4
"Show me all patients who have a medication start date before January 1, 2022.",4
List all the patients who have allergies to peanuts.,4
How many patients have a potential study code?,3
List all patients who were referred by Dr. Smith.,3
Show me the patients who have a potential study and are taking medication.,3
Show me the patients who have allergies to both peanuts and shellfish.,3
List all patients who have a medication dosage of 10mg.,3
Is there any patient who has a medication end date before their medication start date?,3
List all patients who have a medication dosage greater than 100mg.,3
"Show me all patients who have a medication start date after January 1, 2022.",3
What is the average age of patients who have allergies to peanuts?,3
Who is the patient with the highest systolic blood pressure?,3
How many patients have appointments scheduled for tomorrow?,3
"Show me all patients who have a medication start date before January 1, 2020 and an end date after December 31, 2020.",3
Show me the patients who have allergies to peanuts or seafood.,3
What is the total number of patients who have allergies?,3
