Unique Error,Count
Error: Found 0 record! Empty response!,816
"Error: (psycopg2.errors.SyntaxError) syntax error at or near ""union""
LINE 10: union
         ^

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name"", ""patient_mmse_score""
from tb_patient
inner join tb_patient_mmse_and_moca_scores
on tb_patient.uuid_patient = tb_patient_mmse_and_moca_scores.patient
where ""patient_mmse_score"" is not null
order by ""patient_mmse_score"" asc
limit 1

union

select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name"", ""patient_mmse_score""
from tb_patient
inner join tb_patient_mmse_and_moca_scores
on tb_patient.uuid_patient = tb_patient_mmse_and_moca_scores.patient
where ""patient_mmse_score"" is not null
order by ""patient_mmse_score"" desc
limit 1;]
(Background on this error at: https://sqlalche.me/e/20/f405)",12
"Error: (psycopg2.errors.InvalidTextRepresentation) invalid input syntax for type integer: ""100m""

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where cast(substring(""medication_dosage"", 1, length(""medication_dosage"") - 2) as integer) > 100
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",6
"Error: (psycopg2.errors.InvalidTextRepresentation) invalid input syntax for type numeric: ""750mg""

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where ""medication_dosage""::numeric > 100
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",5
"Error: (psycopg2.errors.SyntaxError) syntax error at or near ""no""
LINE 1: no questions requested.
        ^

[SQL: no questions requested.]
(Background on this error at: https://sqlalche.me/e/20/f405)",5
"Error: (psycopg2.errors.InvalidTextRepresentation) invalid input syntax for type numeric: ""100m""

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where cast(substring(""medication_dosage"", 1, length(""medication_dosage"") - 2) as numeric) > 10
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",5
"Error: (psycopg2.errors.InvalidTextRepresentation) invalid input syntax for type numeric: ""750mg""

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where cast(split_part(""medication_dosage"", ' ', 1) as numeric) > 10
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",4
"Error: (psycopg2.errors.SyntaxError) syntax error at or near ""no""
LINE 1: no questions were requested.
        ^

[SQL: no questions were requested.]
(Background on this error at: https://sqlalche.me/e/20/f405)",4
"Error: (psycopg2.errors.InvalidTextRepresentation) invalid input syntax for type numeric: ""25mg""

[SQL: 
select ""uuid_patient"",""patient_code"", ""patient_first_name"",""patient_last_name"",array_agg(""phones"") filter (where phones <> '{}') as ""phones"",array_agg(""patient_email"") as ""patient_emails"",array_agg(""patient_visit_companion_phone"") as ""patient_visit_companion_phones"",array_agg(""patient_visit_companion_email"") as ""patient_visit_companion_emails"",array_agg(""medication_name"") as ""medication_names"",array_agg(""medication_dosage"") as ""medication_dosages""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where ""medication_dosage""::numeric > 100
group by ""uuid_patient"", ""patient_code"",""patient_first_name"",""patient_last_name""
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",3
"Error: (psycopg2.errors.SyntaxError) syntax error at or near ""union""
LINE 8: union
        ^

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name"", ""patient_bmi""
from tb_patient
where ""patient_bmi"" is not null
order by ""patient_bmi"" desc
limit 1

union

select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name"", ""patient_bmi""
from tb_patient
where ""patient_bmi"" is not null
order by ""patient_bmi"" asc
limit 1;]
(Background on this error at: https://sqlalche.me/e/20/f405)",3
"Error: (psycopg2.errors.InvalidTextRepresentation) invalid input syntax for type integer: ""100m""

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where cast(substring(""medication_dosage"", 1, length(""medication_dosage"") - 2) as integer) > 50
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",2
"Error: (psycopg2.errors.InvalidDatetimeFormat) invalid input syntax for type date: ""specific_date""
LINE 6: where ""medication_start_date"" >= 'specific_date'
                                         ^

[SQL: 
select ""uuid_patient"",""patient_code"",""patient_first_name"",""patient_last_name""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where ""medication_start_date"" >= 'specific_date'
group by ""uuid_patient"",""patient_code"",""patient_first_name"",""patient_last_name"";]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",2
